iter	Passed	Remaining
475	653	719
476	655	718
477	656	716
478	657	715
479	658	713
480	659	711
481	660	710
482	661	708
483	662	706
484	663	704
485	664	702
486	665	701
487	666	699
488	667	697
489	668	695
490	669	693
491	670	691
492	671	690
493	672	689
494	673	687
495	674	685
496	675	683
497	676	682
498	677	680
499	678	678
500	679	676
501	680	674
502	681	673
503	682	671
504	683	669
505	683	667
506	684	665
507	685	664
508	687	662
509	688	661
510	689	660
511	691	658
512	692	657
513	693	655
514	694	654
515	695	652
516	696	650
517	697	649
518	698	647
519	699	645
520	700	644
521	701	642
522	702	640
523	703	639
524	704	637
525	705	635
526	706	633
527	707	632
528	708	630
529	709	628
530	710	627
531	711	625
532	712	623
533	712	622
534	713	620
535	715	619
536	716	617
537	717	616
538	718	614
539	719	612
540	720	611
541	721	609
542	722	607
543	723	606
544	724	604
545	725	602
546	725	601
547	726	599
548	727	597
549	728	596
550	729	594
551	730	593
552	731	591
553	733	590
554	734	588
555	735	587
556	736	585
557	737	583
558	738	582
559	739	580
560	739	578
561	740	577
562	741	575
563	742	574
564	743	572
565	744	570
566	745	569
567	746	568
568	747	566
569	748	564
570	749	563
571	750	561
572	751	559
573	752	558
574	753	556
575	754	555
576	754	553
577	755	551
578	756	550
579	757	548
580	758	547
581	759	545
582	760	544
583	761	542
584	762	540
585	763	539
586	764	537
587	765	536
588	766	534
589	766	532
590	767	531
591	768	529
592	769	528
593	770	526
594	771	524
595	772	523
596	773	521
597	774	520
598	775	518
599	776	517
600	777	515
601	778	514
602	778	512
603	779	511
604	780	509
605	781	508
606	782	506
607	783	505
608	784	503
609	785	501
610	786	500
611	786	498
612	787	497
613	788	495
614	789	494
615	790	492
616	791	491
617	792	489
618	793	488
619	794	486
620	795	485
621	796	483
622	796	482
623	797	480
624	798	479
625	799	477
626	800	476
627	801	474
628	802	473
629	803	471
630	804	470
631	805	468
632	806	467
633	807	466
634	808	464
635	809	463
636	809	461
637	811	460
638	811	458
639	812	457
640	813	455
641	814	454
642	815	452
643	816	451
644	817	449
645	818	448
646	818	446
647	820	445
648	821	444
649	822	442
650	823	441
651	824	439
652	825	438
653	826	437
654	827	435
655	828	434
656	829	433
657	830	431
658	831	430
659	833	429
660	834	427
661	835	426
662	836	425
663	837	423
664	838	422
665	838	420
666	839	419
667	840	417
668	841	416
669	842	414
670	843	413
671	843	411
672	844	410
673	845	409
674	846	407
675	847	406
676	848	404
677	849	403
678	850	401
679	851	400
680	852	399
681	853	397
682	853	396
683	854	394
684	855	393
685	856	392
686	857	390
687	858	389
688	859	387
689	860	386
690	861	385
691	861	383
692	862	382
693	863	380
694	864	379
695	866	378
696	866	376
697	867	375
698	868	374
699	869	372
700	870	371
701	871	369
702	872	368
703	872	367
704	873	365
705	874	364
706	875	362
707	876	361
708	877	360
709	878	358
710	879	357
711	880	356
712	881	354
713	882	353
714	883	352
715	884	350
716	885	349
717	886	348
718	887	346
719	888	345
720	889	344
721	890	342
722	891	341
723	892	340
724	893	338
725	894	337
726	895	336
727	896	334
728	897	333
729	898	332
730	899	330
731	900	329
732	901	328
733	902	326
734	902	325
735	903	324
736	904	322
737	905	321
738	906	320
739	907	318
740	908	317
741	909	316
742	910	314
743	911	313
744	912	312
745	913	311
746	914	309
747	915	308
748	916	307
749	917	305
750	918	304
751	919	303
752	920	301
753	921	300
754	922	299
755	923	298
756	924	296
757	925	295
758	926	294
759	927	292
760	928	291
761	929	290
762	930	289
763	931	287
764	932	286
765	933	285
766	934	283
767	935	282
768	936	281
769	937	280
770	938	278
771	939	277
772	940	276
773	942	275
774	943	273
775	944	272
776	945	271
777	946	270
778	947	268
779	948	267
780	949	266
781	950	264
782	951	263
783	952	262
784	953	261
785	954	259
786	955	258
787	956	257
788	957	256
789	958	254
790	959	253
791	960	252
792	961	250
793	962	249
794	963	248
795	964	247
796	965	245
797	966	244
798	967	243
799	968	242
800	969	240
801	970	239
802	971	238
803	972	237
804	973	235
805	974	234
806	975	233
807	976	231
808	977	230
809	978	229
810	978	228
811	980	226
812	980	225
813	982	224
814	983	223
815	984	221
816	985	220
817	986	219
818	987	218
819	988	216
820	989	215
821	990	214
822	991	213
823	992	211
824	992	210
825	993	209
826	994	208
827	995	206
828	996	205
829	997	204
830	998	203
831	999	201
832	1000	200
833	1001	199
834	1002	198
835	1003	196
836	1004	195
837	1005	194
838	1006	193
839	1007	191
840	1008	190
841	1009	189
842	1010	188
843	1011	186
844	1012	185
845	1013	184
846	1014	183
847	1015	182
848	1016	180
849	1017	179
850	1018	178
851	1019	177
852	1020	175
853	1022	174
854	1023	173
855	1024	172
856	1025	171
857	1026	169
858	1027	168
859	1028	167
860	1029	166
861	1030	164
862	1031	163
863	1032	162
864	1033	161
865	1034	160
866	1035	158
867	1036	157
868	1037	156
869	1038	155
870	1038	153
871	1039	152
872	1040	151
873	1041	150
874	1042	148
875	1043	147
876	1044	146
877	1045	145
